,age,occupation,marriage status,education level,balance,housing,loan,have termed deposit,credit_scores,credit_conditions
74,43,technician,married,secondary,1937,yes,no,no,3027,above mean
75,53,technician,married,secondary,384,yes,no,no,1474,above mean
76,44,blue-collar,married,secondary,582,no,yes,no,-5243,below zero
77,55,services,divorced,secondary,91,no,no,no,91,below mean
78,49,services,divorced,secondary,0,yes,yes,no,-4735,below zero
79,55,services,divorced,secondary,1,yes,no,no,1091,above mean
80,45,admin.,single,secondary,206,yes,no,no,1296,above mean
81,47,services,divorced,secondary,164,no,no,no,164,below mean
82,42,technician,single,secondary,690,yes,no,no,1780,above mean
83,59,admin.,married,secondary,2343,yes,no,yes,3433,above mean
84,46,self-employed,married,tertiary,137,yes,yes,no,-4598,below zero
85,51,blue-collar,married,primary,173,yes,no,no,1263,above mean
86,56,admin.,married,secondary,45,no,no,yes,45,below mean
87,41,technician,married,secondary,1270,yes,no,yes,2360,above mean
88,46,management,divorced,secondary,16,yes,yes,no,-4719,below zero
89,57,retired,married,secondary,486,yes,no,no,1576,above mean
90,42,management,single,secondary,50,no,no,no,50,below mean
91,30,technician,married,secondary,152,yes,yes,no,-4583,below zero
92,60,admin.,married,secondary,290,yes,no,no,1380,above mean
93,60,blue-collar,married,unknown,54,yes,no,no,1144,above mean
94,57,entrepreneur,divorced,secondary,-37,no,no,no,-37,below zero
95,36,management,married,tertiary,101,yes,yes,no,-4634,below zero
96,55,blue-collar,married,secondary,383,no,no,no,383,below mean
97,60,retired,married,tertiary,81,yes,no,no,1171,above mean
98,39,technician,married,secondary,0,yes,no,no,1090,above mean
99,46,management,married,tertiary,229,yes,no,no,1319,above mean
100,44,blue-collar,married,secondary,-674,yes,no,no,416,below mean
101,53,blue-collar,married,primary,90,no,no,no,90,below mean
102,52,blue-collar,married,primary,128,yes,no,no,1218,above mean
103,59,blue-collar,married,primary,179,yes,no,no,1269,above mean
104,27,technician,single,tertiary,0,yes,no,no,1090,above mean
105,44,blue-collar,married,secondary,54,yes,no,no,1144,above mean
106,47,technician,married,tertiary,151,yes,no,no,1241,above mean
107,34,admin.,married,secondary,61,no,yes,no,-5764,below zero
108,59,retired,single,secondary,30,yes,no,no,1120,above mean
109,45,management,married,tertiary,523,yes,no,no,1613,above mean
110,29,services,divorced,secondary,31,yes,no,no,1121,above mean
111,46,technician,divorced,secondary,79,no,no,no,79,below mean
112,56,self-employed,married,primary,-34,yes,yes,no,-4769,below zero
113,36,blue-collar,married,primary,448,yes,no,no,1538,above mean
114,59,retired,divorced,primary,81,yes,no,no,1171,above mean
115,44,blue-collar,married,secondary,144,yes,no,no,1234,above mean
116,41,admin.,married,secondary,351,yes,no,no,1441,above mean
117,33,management,single,tertiary,-67,yes,no,no,1023,below mean
118,59,management,divorced,tertiary,262,no,no,no,262,below mean
119,57,technician,married,primary,0,no,no,no,0,below mean
120,56,technician,divorced,unknown,56,yes,no,no,1146,above mean
121,51,blue-collar,married,secondary,26,yes,no,no,1116,above mean
122,34,admin.,married,unknown,3,yes,no,no,1093,above mean
123,43,services,married,secondary,41,yes,yes,no,-4694,below zero
124,52,technician,married,tertiary,7,no,yes,no,-5818,below zero
125,33,technician,single,secondary,105,yes,no,no,1195,above mean
126,29,admin.,single,secondary,818,yes,yes,no,-3917,below zero
127,34,services,married,secondary,-16,yes,yes,no,-4751,below zero
128,31,blue-collar,married,secondary,0,yes,no,no,1090,above mean
129,55,services,married,secondary,2476,yes,no,yes,3566,above mean
130,55,management,married,unknown,1185,no,no,no,1185,above mean
131,32,admin.,single,secondary,217,yes,no,no,1307,above mean
132,38,technician,single,secondary,1685,yes,no,no,2775,above mean
133,55,admin.,single,secondary,802,yes,yes,no,-3933,below zero
134,28,unemployed,single,tertiary,0,yes,no,no,1090,above mean
135,23,blue-collar,married,secondary,94,yes,no,no,1184,above mean
136,32,technician,single,secondary,0,yes,no,no,1090,above mean
137,43,services,single,unknown,0,no,no,no,0,below mean
138,32,blue-collar,married,secondary,517,yes,no,no,1607,above mean
139,46,blue-collar,married,secondary,265,yes,no,no,1355,above mean
140,53,housemaid,divorced,primary,947,yes,no,no,2037,above mean
141,34,self-employed,single,secondary,3,yes,no,no,1093,above mean
142,57,unemployed,married,tertiary,42,no,no,no,42,below mean
143,37,blue-collar,married,secondary,37,yes,no,no,1127,above mean
144,59,blue-collar,married,secondary,57,yes,no,no,1147,above mean
145,33,services,married,secondary,22,yes,no,no,1112,above mean
146,56,blue-collar,divorced,primary,8,yes,no,no,1098,above mean
147,48,unemployed,married,secondary,293,yes,no,no,1383,above mean
148,43,services,married,primary,3,yes,no,no,1093,above mean
149,54,blue-collar,married,primary,348,yes,no,no,1438,above mean
150,51,blue-collar,married,unknown,-19,yes,no,no,1071,above mean
151,26,student,single,secondary,0,yes,no,no,1090,above mean
152,40,management,married,tertiary,-4,yes,no,no,1086,above mean
153,39,management,married,secondary,18,yes,no,no,1108,above mean
154,50,technician,married,primary,139,no,no,no,139,below mean
155,41,services,married,secondary,0,yes,no,no,1090,above mean
156,51,blue-collar,married,unknown,1883,yes,no,no,2973,above mean
157,60,retired,divorced,secondary,216,yes,no,no,1306,above mean
158,52,blue-collar,married,secondary,782,yes,no,no,1872,above mean
159,48,blue-collar,married,secondary,904,yes,no,no,1994,above mean
160,48,services,married,unknown,1705,yes,no,no,2795,above mean
161,39,technician,single,tertiary,47,yes,no,no,1137,above mean
162,47,services,single,secondary,176,yes,no,no,1266,above mean
163,40,blue-collar,married,secondary,1225,yes,no,no,2315,above mean
164,45,technician,married,secondary,86,yes,no,no,1176,above mean
165,26,admin.,single,secondary,82,yes,no,no,1172,above mean
166,52,management,married,tertiary,271,yes,no,no,1361,above mean
167,54,technician,married,secondary,1378,yes,no,no,2468,above mean
168,54,admin.,married,tertiary,184,no,no,yes,184,below mean
169,50,blue-collar,married,primary,0,no,no,no,0,below mean
170,35,blue-collar,married,secondary,0,yes,no,no,1090,above mean
171,44,services,married,secondary,1357,yes,yes,no,-3378,below zero
172,53,entrepreneur,married,unknown,19,yes,no,no,1109,above mean
173,35,retired,single,primary,434,no,no,no,434,below mean
174,60,admin.,divorced,secondary,92,yes,no,no,1182,above mean
175,53,admin.,divorced,secondary,1151,yes,no,no,2241,above mean
176,48,unemployed,married,secondary,41,yes,no,no,1131,above mean
177,34,technician,married,secondary,51,yes,no,no,1141,above mean
178,54,services,married,secondary,214,yes,no,no,1304,above mean
179,51,management,married,secondary,1161,yes,no,no,2251,above mean
180,31,services,married,tertiary,37,yes,no,no,1127,above mean
181,35,technician,divorced,secondary,787,yes,no,no,1877,above mean
182,35,services,married,secondary,59,yes,no,no,1149,above mean
183,38,technician,married,secondary,253,yes,no,no,1343,above mean
184,36,admin.,married,tertiary,211,yes,no,no,1301,above mean
185,58,retired,married,primary,235,yes,no,no,1325,above mean
186,40,services,divorced,unknown,4384,yes,no,no,5474,above mean
187,54,management,married,secondary,4080,no,no,no,4080,above mean
188,34,blue-collar,single,secondary,53,yes,yes,no,-4682,below zero
189,31,management,single,tertiary,0,yes,no,no,1090,above mean
190,51,retired,married,secondary,2127,yes,no,no,3217,above mean
191,33,management,married,tertiary,377,yes,no,no,1467,above mean
192,55,management,married,tertiary,73,yes,no,no,1163,above mean
193,42,admin.,married,secondary,445,yes,no,no,1535,above mean
194,34,blue-collar,married,secondary,243,yes,no,no,1333,above mean
195,33,blue-collar,single,secondary,307,yes,no,no,1397,above mean
196,38,services,married,secondary,155,yes,no,no,1245,above mean
197,50,technician,divorced,tertiary,173,no,yes,no,-5652,below zero
198,43,management,married,tertiary,400,yes,no,no,1490,above mean
199,61,blue-collar,divorced,primary,1428,yes,no,no,2518,above mean
200,47,admin.,married,secondary,219,yes,no,no,1309,above mean
201,48,self-employed,married,tertiary,7,yes,no,no,1097,above mean
202,44,blue-collar,married,secondary,575,yes,no,no,1665,above mean
203,35,student,single,unknown,298,yes,no,no,1388,above mean
204,35,services,married,secondary,0,yes,no,no,1090,above mean
205,50,services,married,secondary,5699,yes,no,no,6789,above mean
206,41,management,married,tertiary,176,yes,yes,no,-4559,below zero
207,41,management,married,tertiary,517,yes,no,no,1607,above mean
208,39,services,single,unknown,257,yes,no,no,1347,above mean
209,42,retired,married,secondary,56,yes,no,no,1146,above mean
210,38,blue-collar,married,secondary,-390,yes,no,no,700,below mean
211,53,retired,married,secondary,330,yes,no,no,1420,above mean
212,59,housemaid,divorced,primary,195,no,no,no,195,below mean
213,36,services,married,secondary,301,yes,no,no,1391,above mean
214,54,blue-collar,married,primary,-41,yes,no,no,1049,above mean
215,40,technician,married,tertiary,483,yes,no,no,1573,above mean
216,47,unknown,married,unknown,28,no,no,no,28,below mean
217,53,unemployed,married,unknown,13,no,no,no,13,below mean
218,46,housemaid,married,primary,965,no,no,no,965,below mean
219,39,management,married,tertiary,378,yes,yes,no,-4357,below zero
220,40,unemployed,married,secondary,219,yes,no,no,1309,above mean
221,28,blue-collar,married,primary,324,yes,no,no,1414,above mean
222,35,entrepreneur,divorced,secondary,-69,yes,no,no,1021,below mean
223,55,retired,married,secondary,0,no,yes,no,-5825,below zero
224,43,technician,divorced,unknown,205,yes,no,no,1295,above mean
225,48,blue-collar,married,primary,278,yes,no,no,1368,above mean
226,58,management,married,unknown,1065,yes,no,no,2155,above mean
227,33,management,single,tertiary,34,yes,no,no,1124,above mean
228,36,blue-collar,married,unknown,1033,no,no,no,1033,below mean
229,53,services,divorced,secondary,1467,yes,no,no,2557,above mean
230,47,blue-collar,married,primary,-12,yes,no,no,1078,above mean
231,31,services,married,secondary,388,yes,no,no,1478,above mean
232,57,entrepreneur,married,secondary,294,yes,no,no,1384,above mean
233,53,blue-collar,married,unknown,1827,no,no,no,1827,above mean
234,55,blue-collar,married,primary,627,yes,no,no,1717,above mean
235,45,blue-collar,married,primary,25,yes,no,no,1115,above mean
236,53,admin.,divorced,secondary,315,yes,no,no,1405,above mean
237,37,blue-collar,married,primary,0,yes,no,no,1090,above mean
238,44,admin.,divorced,secondary,66,yes,no,no,1156,above mean
239,49,blue-collar,divorced,primary,-9,yes,yes,no,-4744,below zero
240,46,technician,married,secondary,349,yes,yes,no,-4386,below zero
241,43,entrepreneur,married,unknown,100,yes,no,no,1190,above mean
242,38,admin.,married,secondary,0,no,no,no,0,below mean
243,43,technician,married,secondary,434,yes,no,no,1524,above mean
244,49,management,married,tertiary,3237,yes,no,no,4327,above mean
245,42,management,married,unknown,275,no,no,no,275,below mean
246,22,blue-collar,single,secondary,0,yes,no,no,1090,above mean
247,40,management,married,tertiary,207,yes,no,no,1297,above mean
248,39,blue-collar,married,secondary,483,yes,no,no,1573,above mean
249,51,services,married,secondary,2248,yes,no,no,3338,above mean
250,49,admin.,married,secondary,428,yes,no,no,1518,above mean
251,53,blue-collar,married,secondary,0,yes,yes,no,-4735,below zero
252,34,services,single,secondary,0,yes,no,no,1090,above mean
253,33,technician,divorced,secondary,140,yes,no,no,1230,above mean
254,50,management,single,tertiary,297,yes,no,no,1387,above mean
255,39,blue-collar,married,primary,279,yes,no,no,1369,above mean
256,59,entrepreneur,divorced,secondary,901,yes,no,no,1991,above mean
257,30,technician,single,secondary,2573,yes,no,no,3663,above mean
258,36,services,married,secondary,143,yes,yes,no,-4592,below zero
259,40,blue-collar,married,secondary,475,yes,no,no,1565,above mean
260,53,blue-collar,married,secondary,70,yes,no,no,1160,above mean
261,34,management,single,tertiary,318,yes,no,no,1408,above mean
262,37,technician,married,secondary,275,yes,no,no,1365,above mean
263,42,management,divorced,tertiary,742,yes,no,no,1832,above mean
264,41,entrepreneur,married,primary,236,yes,no,no,1326,above mean
265,30,student,single,tertiary,25,yes,no,no,1115,above mean
266,37,management,single,tertiary,600,yes,no,no,1690,above mean
267,39,admin.,divorced,secondary,-349,yes,no,no,741,below mean
268,41,blue-collar,married,primary,183,yes,yes,no,-4552,below zero
269,40,blue-collar,married,primary,0,yes,no,no,1090,above mean
270,42,management,single,tertiary,0,yes,yes,yes,-4735,below zero
271,40,blue-collar,divorced,primary,0,yes,no,no,1090,above mean
272,57,technician,married,secondary,1078,yes,no,no,2168,above mean
273,56,entrepreneur,divorced,secondary,155,no,no,no,155,below mean
274,37,admin.,married,secondary,190,yes,no,no,1280,above mean
275,59,retired,married,secondary,319,yes,no,no,1409,above mean
276,39,services,divorced,secondary,-185,yes,no,no,905,below mean
277,49,services,married,secondary,47,no,no,no,47,below mean
278,38,services,single,secondary,570,yes,no,no,1660,above mean
279,36,self-employed,married,tertiary,19,no,no,no,19,below mean
280,50,blue-collar,married,primary,61,yes,no,no,1151,above mean
281,41,admin.,married,secondary,-62,yes,yes,no,-4797,below zero
282,54,technician,married,tertiary,258,no,no,no,258,below mean
283,58,blue-collar,married,primary,76,yes,no,no,1166,above mean
284,30,blue-collar,single,secondary,0,yes,no,no,1090,above mean
285,33,admin.,single,secondary,352,yes,no,no,1442,above mean
286,47,admin.,married,secondary,368,yes,no,no,1458,above mean
287,50,technician,single,tertiary,339,yes,no,no,1429,above mean
288,32,blue-collar,married,secondary,1331,yes,no,no,2421,above mean
289,40,self-employed,married,secondary,672,yes,no,no,1762,above mean
290,37,management,married,tertiary,58,yes,no,no,1148,above mean
291,54,technician,single,unknown,447,yes,no,no,1537,above mean
292,24,student,single,secondary,423,yes,no,no,1513,above mean
293,54,management,married,tertiary,0,no,no,no,0,below mean
294,34,technician,married,secondary,19,yes,no,no,1109,above mean
295,56,technician,divorced,primary,13,yes,no,no,1103,above mean
296,31,blue-collar,single,secondary,3,yes,no,no,1093,above mean
297,24,student,single,secondary,82,yes,no,no,1172,above mean
298,42,blue-collar,divorced,primary,28,yes,no,no,1118,above mean
299,57,technician,married,secondary,792,yes,no,no,1882,above mean
300,42,blue-collar,married,unknown,408,yes,no,no,1498,above mean
301,51,admin.,married,secondary,531,yes,no,no,1621,above mean
302,57,retired,married,secondary,211,yes,no,no,1301,above mean
303,36,services,single,secondary,62,yes,no,no,1152,above mean
304,53,services,married,unknown,257,yes,no,no,1347,above mean
305,50,technician,married,secondary,1234,yes,no,no,2324,above mean
306,54,management,married,tertiary,313,yes,no,no,1403,above mean
307,55,blue-collar,married,secondary,89,yes,no,no,1179,above mean
308,44,blue-collar,married,secondary,129,yes,yes,no,-4606,below zero
309,43,management,married,unknown,0,yes,no,no,1090,above mean
310,56,admin.,married,secondary,353,yes,no,no,1443,above mean
311,54,technician,married,unknown,851,yes,no,no,1941,above mean
312,55,services,divorced,primary,96,yes,yes,no,-4639,below zero
313,37,services,divorced,secondary,398,yes,yes,no,-4337,below zero
314,33,admin.,single,tertiary,193,no,no,no,193,below mean
315,46,admin.,married,secondary,-358,yes,no,no,732,below mean
316,36,blue-collar,married,secondary,539,yes,yes,no,-4196,below zero
317,51,technician,single,secondary,0,yes,no,no,1090,above mean
318,40,retired,single,primary,0,no,no,no,0,below mean
319,42,blue-collar,married,secondary,490,yes,no,no,1580,above mean
320,51,blue-collar,married,secondary,0,yes,no,no,1090,above mean
321,49,blue-collar,married,unknown,403,yes,no,no,1493,above mean
322,48,management,married,secondary,161,yes,no,no,1251,above mean
323,32,technician,divorced,tertiary,2558,no,no,no,2558,above mean
324,31,admin.,single,secondary,98,yes,no,no,1188,above mean
325,55,management,single,tertiary,115,no,no,no,115,below mean
326,40,blue-collar,single,secondary,436,yes,no,no,1526,above mean
327,47,technician,married,tertiary,831,yes,no,no,1921,above mean
328,57,technician,married,unknown,206,yes,no,no,1296,above mean
329,41,blue-collar,married,secondary,290,yes,no,no,1380,above mean
330,48,blue-collar,married,secondary,1,no,no,no,1,below mean
331,42,blue-collar,married,unknown,57,yes,no,no,1147,above mean
332,30,blue-collar,single,secondary,-457,yes,no,no,633,below mean
333,58,management,single,tertiary,1387,yes,no,no,2477,above mean
334,45,management,divorced,tertiary,24598,yes,no,no,25688,above mean
335,49,blue-collar,married,secondary,30,yes,no,no,1120,above mean
336,42,admin.,single,secondary,1022,yes,no,no,2112,above mean
337,53,technician,married,secondary,56,yes,yes,no,-4679,below zero
338,51,admin.,single,secondary,-2,no,no,no,-2,below zero
339,32,services,single,secondary,121,yes,no,no,1211,above mean
340,41,blue-collar,single,secondary,842,yes,no,no,1932,above mean
341,43,management,divorced,secondary,693,yes,no,no,1783,above mean
342,40,blue-collar,divorced,secondary,-333,yes,no,no,757,below mean
343,50,blue-collar,married,primary,1533,yes,no,no,2623,above mean
344,34,management,married,tertiary,46,yes,no,no,1136,above mean
345,53,services,married,unknown,18,no,no,no,18,below mean
346,45,technician,married,secondary,44,yes,no,no,1134,above mean
347,39,blue-collar,married,primary,-100,yes,no,no,990,below mean
348,44,services,married,tertiary,510,yes,no,no,1600,above mean
349,55,management,married,tertiary,685,yes,no,no,1775,above mean
350,46,management,single,tertiary,187,yes,no,no,1277,above mean
351,45,blue-collar,married,secondary,66,yes,no,no,1156,above mean
352,34,admin.,married,secondary,560,yes,no,no,1650,above mean
353,36,blue-collar,married,secondary,0,yes,no,no,1090,above mean
354,59,unknown,divorced,unknown,27,no,no,no,27,below mean
355,31,admin.,single,secondary,12,yes,no,no,1102,above mean
356,44,blue-collar,single,secondary,34,yes,no,no,1124,above mean
357,33,entrepreneur,single,tertiary,1068,yes,no,no,2158,above mean
358,40,blue-collar,married,secondary,211,yes,no,no,1301,above mean
359,46,admin.,single,tertiary,377,yes,no,no,1467,above mean
360,48,management,married,tertiary,263,yes,no,no,1353,above mean
361,42,services,married,secondary,1263,yes,no,no,2353,above mean
362,27,services,married,secondary,8,yes,no,no,1098,above mean
363,48,admin.,married,secondary,126,yes,yes,no,-4609,below zero
364,59,admin.,married,secondary,230,yes,no,no,1320,above mean
365,46,technician,married,tertiary,841,yes,no,no,1931,above mean
366,38,admin.,divorced,secondary,308,yes,no,no,1398,above mean
367,43,management,divorced,tertiary,1,yes,no,no,1091,above mean
368,38,admin.,divorced,tertiary,86,yes,no,no,1176,above mean
369,23,student,single,secondary,157,yes,no,no,1247,above mean
370,34,services,married,secondary,22,yes,no,no,1112,above mean
371,38,admin.,married,secondary,46,yes,yes,no,-4689,below zero
372,37,blue-collar,married,secondary,1293,no,no,no,1293,above mean
373,25,admin.,single,secondary,122,yes,no,no,1212,above mean
374,48,blue-collar,married,unknown,131,yes,no,no,1221,above mean
375,49,blue-collar,single,secondary,143,yes,no,no,1233,above mean
376,38,admin.,single,secondary,393,no,no,no,393,below mean
377,43,blue-collar,married,primary,98,yes,no,no,1188,above mean
378,33,management,married,tertiary,0,yes,no,no,1090,above mean
379,55,blue-collar,married,secondary,224,yes,no,no,1314,above mean
380,38,blue-collar,married,secondary,757,yes,no,no,1847,above mean
381,49,services,married,secondary,245,yes,yes,no,-4490,below zero
382,40,management,married,secondary,8486,no,no,no,8486,above mean
383,43,admin.,married,unknown,350,no,no,no,350,below mean
384,38,blue-collar,married,secondary,20,yes,no,no,1110,above mean
385,58,services,married,secondary,1667,yes,yes,no,-3068,below zero
386,57,technician,married,unknown,345,yes,no,no,1435,above mean
387,32,unemployed,married,secondary,10,yes,no,no,1100,above mean
388,56,management,married,tertiary,830,yes,yes,yes,-3905,below zero
389,58,blue-collar,divorced,unknown,29,yes,no,no,1119,above mean
390,60,retired,divorced,secondary,545,yes,no,yes,1635,above mean
391,37,technician,married,tertiary,8730,yes,no,no,9820,above mean
392,46,technician,divorced,tertiary,477,yes,no,no,1567,above mean
393,27,admin.,married,secondary,4,yes,no,no,1094,above mean
394,43,blue-collar,married,secondary,1205,yes,no,no,2295,above mean
395,32,technician,single,secondary,0,yes,yes,no,-4735,below zero
396,40,admin.,single,secondary,263,yes,no,no,1353,above mean
397,38,admin.,married,secondary,1,no,no,no,1,below mean
398,34,blue-collar,married,secondary,283,no,yes,no,-5542,below zero
399,47,blue-collar,married,primary,206,yes,no,no,1296,above mean
400,42,housemaid,married,primary,17,yes,no,no,1107,above mean
401,48,technician,married,secondary,141,yes,yes,no,-4594,below zero
402,29,self-employed,single,tertiary,16,yes,no,no,1106,above mean
403,50,services,married,secondary,206,yes,no,no,1296,above mean
404,52,technician,married,unknown,7,no,no,no,7,below mean
405,50,management,married,tertiary,0,no,no,no,0,below mean
406,58,retired,married,tertiary,0,no,no,no,0,below mean
407,46,blue-collar,divorced,primary,1927,yes,no,no,3017,above mean
408,38,technician,married,secondary,284,yes,no,no,1374,above mean
409,46,blue-collar,married,secondary,1660,yes,no,no,2750,above mean
410,32,services,single,secondary,406,yes,no,no,1496,above mean
411,51,blue-collar,married,primary,230,yes,no,no,1320,above mean
412,39,admin.,single,secondary,-25,yes,no,no,1065,above mean
413,48,admin.,married,secondary,182,yes,no,no,1272,above mean
414,36,entrepreneur,married,tertiary,1169,yes,no,no,2259,above mean
415,34,admin.,divorced,secondary,67,yes,no,no,1157,above mean
416,40,technician,married,secondary,77,no,no,no,77,below mean
417,43,unemployed,married,secondary,0,yes,no,no,1090,above mean
418,52,blue-collar,divorced,primary,55,yes,yes,no,-4680,below zero
419,33,technician,married,secondary,72,yes,no,no,1162,above mean
420,49,management,single,tertiary,163,yes,no,no,1253,above mean
421,32,management,single,tertiary,151,yes,no,no,1241,above mean
422,39,admin.,single,secondary,113,yes,no,no,1203,above mean
423,40,blue-collar,married,secondary,0,yes,no,no,1090,above mean
424,38,technician,single,tertiary,9,yes,no,no,1099,above mean
425,43,management,married,secondary,375,yes,no,no,1465,above mean
426,39,services,married,secondary,1142,yes,no,no,2232,above mean
427,54,blue-collar,married,primary,2102,yes,no,no,3192,above mean
428,38,technician,single,tertiary,4325,yes,no,no,5415,above mean
429,40,blue-collar,married,secondary,217,yes,no,no,1307,above mean
430,55,admin.,married,secondary,131,yes,no,no,1221,above mean
431,42,management,married,tertiary,1680,yes,no,no,2770,above mean
432,39,blue-collar,married,secondary,0,yes,no,no,1090,above mean
433,40,blue-collar,married,primary,46,yes,no,no,1136,above mean
434,32,blue-collar,married,secondary,320,yes,no,no,1410,above mean
435,55,admin.,married,secondary,183,yes,no,no,1273,above mean
436,45,blue-collar,married,secondary,39,no,no,no,39,below mean
437,35,management,single,tertiary,560,yes,no,no,1650,above mean
438,58,technician,divorced,secondary,469,no,no,no,469,below mean
439,35,admin.,married,secondary,530,yes,no,no,1620,above mean
440,49,services,married,primary,61,yes,no,no,1151,above mean
441,34,technician,single,tertiary,242,yes,no,no,1332,above mean
442,36,blue-collar,married,secondary,139,yes,no,no,1229,above mean
443,24,self-employed,single,secondary,0,yes,no,no,1090,above mean
444,34,technician,married,secondary,367,yes,no,no,1457,above mean
445,51,admin.,divorced,secondary,228,yes,no,no,1318,above mean
446,39,technician,single,unknown,45248,yes,no,yes,46338,above mean
447,50,self-employed,married,unknown,-84,yes,no,no,1006,below mean
448,32,services,single,secondary,310,yes,no,no,1400,above mean
449,42,blue-collar,married,unknown,132,yes,no,no,1222,above mean
450,50,technician,married,secondary,797,yes,no,no,1887,above mean
451,40,services,married,secondary,71,no,no,no,71,below mean
452,46,management,divorced,unknown,2,yes,no,no,1092,above mean
453,37,management,married,tertiary,231,yes,yes,no,-4504,below zero
454,34,blue-collar,married,secondary,270,yes,yes,no,-4465,below zero
455,44,blue-collar,married,secondary,274,yes,yes,no,-4461,below zero
456,40,admin.,single,secondary,-109,yes,yes,no,-4844,below zero
